[2019-09-11T07:37:13.218Z] [ip]: ::ffff:192.168.1.12 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 3.017 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T07:37:13.222Z] [ip]: ::ffff:192.168.1.12 - [method]: OPTIONS [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 200 [response-time]: 1.227 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T07:37:13.261Z] [ip]: ::ffff:192.168.1.12 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 29.803 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T07:37:13.278Z] [ip]: ::ffff:192.168.1.12 - [method]: GET [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 304 [response-time]: 43.786 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:47.558Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 0.205 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:47.577Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 200 [response-time]: 0.137 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:47.609Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 1.900 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:47.630Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 200 [response-time]: 2.839 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:48.953Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 304 [response-time]: 4.840 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:49.357Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/neutrally/get_order_all HTTP/1.1 [status]: 200 [response-time]: 0.626 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:49.399Z] [ip]: ::ffff:192.168.1.9 - [method]: GET [url]: /api/v1/neutrally/get_order_all HTTP/1.1 [status]: 304 [response-time]: 11.879 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:51.974Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/neutrally/get_order_info HTTP/1.1 [status]: 200 [response-time]: 0.163 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:52.196Z] [ip]: ::ffff:192.168.1.9 - [method]: POST [url]: /api/v1/neutrally/get_order_info HTTP/1.1 [status]: 200 [response-time]: 3.902 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:52.224Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/neutrally/get_chart_frequency_all HTTP/1.1 [status]: 200 [response-time]: 0.149 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:52.225Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/neutrally/get_chart_frequency_all HTTP/1.1 [status]: 200 [response-time]: 0.105 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
[2019-09-11T09:09:52.226Z] [ip]: ::ffff:192.168.1.9 - [method]: OPTIONS [url]: /api/v1/neutrally/get_chart_frequency_all HTTP/1.1 [status]: 200 [response-time]: 0.110 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.132 Safari/537.36
