[2019-08-31T19:28:00.239Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 3.517 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:00.248Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 6.852 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:00.326Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/user/image/user_16.png HTTP/1.1 [status]: 304 [response-time]: 8.974 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:05.299Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/neutarlly/get_plant_information HTTP/1.1 [status]: 200 [response-time]: 1.187 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:05.301Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/neutarlly/get_plant HTTP/1.1 [status]: 200 [response-time]: 0.179 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:05.306Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/graph/get_table_plant HTTP/1.1 [status]: 404 [response-time]: 1.566 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:05.352Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/neutarlly/get_plant_information HTTP/1.1 [status]: 304 [response-time]: 41.609 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:06.090Z] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/neutarlly/get_plant HTTP/1.1 [status]: 200 [response-time]: 741.282 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:16.768Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/neutarlly/get_plant_volume_all_se HTTP/1.1 [status]: 200 [response-time]: 0.242 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:17.397Z] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/neutarlly/get_plant_volume_all_se HTTP/1.1 [status]: 200 [response-time]: 626.363 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
[2019-08-31T19:28:20.716Z] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/neutarlly/get_plant_volume_all_se HTTP/1.1 [status]: 200 [response-time]: 614.171 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/76.0.3809.100 Safari/537.36
