[2019-10-06T05:37:27.757Z] [ip]: ::ffff:192.168.1.30 - [method]: OPTIONS [url]: /api/v1/show/show_user HTTP/1.1 [status]: 200 [response-time]: 5.474 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:37:27.763Z] [ip]: ::ffff:192.168.1.30 - [method]: OPTIONS [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 200 [response-time]: 1.264 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:37:27.841Z] [ip]: ::ffff:192.168.1.30 - [method]: GET [url]: /api/v1/show/show_user HTTP/1.1 [status]: 304 [response-time]: 47.233 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:37:27.860Z] [ip]: ::ffff:192.168.1.30 - [method]: GET [url]: /api/v1/trader/get_product HTTP/1.1 [status]: 200 [response-time]: 73.239 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:37:27.952Z] [ip]: ::ffff:192.168.1.30 - [method]: GET [url]: /api/v1/trader/image/plant_1.png HTTP/1.1 [status]: 200 [response-time]: 45.515 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:37:27.961Z] [ip]: ::ffff:192.168.1.30 - [method]: GET [url]: /api/v1/trader/image/plant_3.png HTTP/1.1 [status]: 200 [response-time]: 56.710 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:37:28.027Z] [ip]: ::ffff:192.168.1.30 - [method]: GET [url]: /api/v1/trader/image/plant_4.png HTTP/1.1 [status]: 200 [response-time]: 68.632 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:37:28.043Z] [ip]: ::ffff:192.168.1.30 - [method]: GET [url]: /api/v1/trader/image/plant_5.png HTTP/1.1 [status]: 200 [response-time]: 74.206 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:43:13.376Z] [ip]: ::ffff:192.168.1.30 - [method]: OPTIONS [url]: /api/v1/neo_firm/get_plant_in_network HTTP/1.1 [status]: 200 [response-time]: 0.596 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:43:14.089Z] [ip]: ::ffff:192.168.1.30 - [method]: GET [url]: /api/v1/neo_firm/get_plant_in_network HTTP/1.1 [status]: 200 [response-time]: 625.434 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
[2019-10-06T05:43:19.303Z] [ip]: ::ffff:192.168.1.30 - [method]: OPTIONS [url]: /api/v1/neo_firm/get_farmer_se HTTP/1.1 [status]: 200 [response-time]: 0.440 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/77.0.3865.90 Safari/537.36
